"##characteristics#run#execution_time_kernel_0#all"
2.147959
2.120463
2.439893
5.646846
5.494422
5.898944
1.721505
1.969885
2.308609
2.488478
1.908314
2.01587
1.902208
2.393633
2.479933
4.027123
2.465353
1.663991
2.259908
1.757948
2.209308
8.305466
7.146127
5.460946
2.390956
2.402483
2.482842
2.564853
2.468976
3.262471
1.962728
2.057409
2.107895
1.772362
2.92553
2.154374
1.934974
2.934083
1.941491
2.243
2.034675
2.349942
7.552705
7.626468
6.069413
1.801797
1.925941
2.159725
2.695051
2.566043
2.896528
1.956909
3.837271
2.288154
5.51706
7.421272
5.77278
2.488478
1.908314
2.01587
4.027123
2.465353
1.663991
2.564853
2.468976
3.262471
1.801797
1.925941
2.159725
3.35704
2.225897
2.087224
2.18425

