"##characteristics#compile#binary_size#min";"##characteristics#run#execution_time_kernel_0#exp"
109324;2.28112378788
104983;2.114214
104754;2.15272865657
357080;5.494422
97433;2.28886469697
97984;2.10666345455
97888;2.14530157576
115882;1.86426
357076;6.2415979697
91807;2.47235039394
97968;1.90534564646
111720;2.086022
90808;2.03137909091
106435;2.20450332323
104951;2.04238410101
104951;2.158575
97942;2.17064587879
357076;5.670878
352980;5.82513191919
74794;2.6913
357076;5.96348936364
104866;1.663991
100845;1.99625224242
75617;2.75243586869
93776;2.185904
97968;2.16882977778
110734;1.885437
109632;2.08026209091
106771;2.158771
101529;2.14084755556
68806;2.66449953535
357076;6.58151448485
97433;2.390956
90808;2.05819466667
93792;2.1688579697
353188;5.39675193939
74881;2.62126291919
77044;2.04027315152
100817;1.97299233333
85349;1.97480990909
357076;6.18456893939
357076;5.755065
74873;2.73681457576
113303;2.33393411111
82801;2.00140824242
93812;2.07017736364
109111;2.194806
93776;2.13021045455
93792;2.07214153535
101630;2.08322394949
75553;2.533913
357076;6.80862092929
357076;6.204055
96993;1.88856742424
84660;2.085787
109095;2.01864690909
74942;2.62279294949
88901;2.07634062626
98155;2.30680164646
104999;2.0960359697
103668;1.956909
109095;1.871075
92151;2.19628025253
98128;2.09948211111
74727;2.62518380808
357076;5.89945
126288;2.32230331313
105098;2.02266572727
108111;2.18374254545
109079;1.88326232323
108834;2.005134
93968;2.08732563636
100801;2.20836944444
70565;2.54186827273
104999;2.150729
104794;2.260619
340004;5.88251482828
97888;2.28300327273
106984;2.21402070707
109111;2.125895
104866;1.663991
68806;2.66449953535
77044;2.04027315152
85349;1.97480990909
82801;2.00140824242
75553;2.533913
96993;1.88856742424
70565;2.54186827273
112898;1.98116621212

